user_id,age,gender,location,city_tier,occupation,device_type,income_level,marital_status,has_kids,language,total_clicks_30d,total_likes_30d,total_shares_30d,avg_dwell_time,bounce_rate,cart_add_30d,search_count_30d,weekend_ratio,night_owl_score,morning_bird_score,app_open_daily,notif_click_rate,last_active_days,avg_session_depth,churn_prob,avg_ticket_size,max_item_spend,total_ltv,discount_affinity,premium_affinity,return_rate,cod_user,wallet_user,loyalty_points,membership_level,aff_electronics,aff_fashion,aff_fitness,aff_home,aff_beauty,aff_groceries,aff_books,aff_gaming,aff_lifestyle,aff_travel,profile_bio,top_searched_brand,buying_intent_score,last_search_query
USR_2010,32,Male,Hyderabad,Tier 3,Doctor,Windows,Low,Single,1,English,378,17,0,70.39,0.79,3,73,0.47,0.6,0.41,9,0.45,7,9,0.39,7973,17829,469268,0.57,0.93,0.07,1,0,1638,Silver,0.28,0.38,0.28,0.21,0.8,0.66,0.08,0.95,0.6,0.73,"Doctor from Hyderabad, loves Fashion. Frequent Windows user.",LG,0.8,Best Fitness products
USR_2011,46,Male,Mumbai,Tier 3,Software Engineer,MacOS,Medium,Married,1,Hindi,114,97,11,65.09,0.39,16,14,0.64,0.64,0.17,13,0.03,10,5,0.28,17566,26942,406810,0.52,0.39,0.13,1,0,1604,Free,0.65,0.98,0.1,0.24,1.0,0.12,0.78,0.66,0.75,0.06,"Software Engineer from Mumbai, loves Books. Frequent MacOS user.",Samsung,0.73,Best Books products
USR_2012,49,Male,Mumbai,Tier 2,Doctor,iOS,High,Married,1,English,488,70,7,210.54,0.62,5,8,0.82,0.38,0.56,2,0.32,29,2,0.21,1505,39490,259113,0.84,0.97,0.05,1,1,3415,Gold,0.71,0.46,0.48,0.86,0.68,0.74,0.27,0.17,0.13,0.73,"Doctor from Mumbai, loves Gaming. Frequent iOS user.",Nike,0.54,Best Fitness products
USR_2013,32,Non-Binary,Bangalore,Tier 1,Entrepreneur,Windows,Medium,Single,0,Hindi,354,65,17,110.68,0.34,13,75,0.69,0.7,0.11,2,0.1,13,20,0.32,5654,18344,305836,0.52,0.26,0.3,0,1,3575,Silver,0.73,0.11,0.85,0.23,0.4,0.88,0.94,0.44,0.09,0.48,"Entrepreneur from Bangalore, loves Fitness. Frequent Windows user.",Nike,0.04,Best Tech products
USR_2014,33,Non-Binary,Kolkata,Tier 1,Doctor,iOS,Low,Married,1,Hindi,183,89,9,141.97,0.48,23,59,0.16,0.2,1.0,1,0.38,13,14,0.48,9777,38184,46698,0.47,0.11,0.04,1,1,2341,Platinum,0.67,0.33,0.49,0.78,0.72,0.48,0.6,0.19,0.7,0.1,"Doctor from Kolkata, loves Fashion. Frequent iOS user.",Apple,0.87,Best Gaming products
USR_2015,58,Female,Mumbai,Tier 1,Software Engineer,iOS,Ultra-High,Married,0,Hindi,331,99,14,117.08,0.42,11,41,0.7,0.1,0.32,10,0.48,18,19,0.86,23491,49405,150897,0.16,0.12,0.3,1,0,3022,Silver,0.9,0.97,0.9,0.32,0.69,0.62,0.22,0.91,0.45,0.85,"Software Engineer from Mumbai, loves Fashion. Frequent iOS user.",Apple,0.34,Best Home Decor products
USR_2016,47,Female,Pune,Tier 1,Doctor,Windows,Low,Married,1,English,211,32,6,138.66,0.61,8,34,0.8,0.55,0.49,3,0.08,14,10,0.49,8693,45671,338405,0.53,0.29,0.24,1,1,4899,Silver,0.6,0.3,0.19,0.14,0.51,0.48,0.7,0.54,0.28,0.14,"Doctor from Pune, loves Books. Frequent Windows user.",Zara,0.66,Best Gaming products
USR_2017,60,Male,Kolkata,Tier 2,Entrepreneur,iOS,Medium,Single,0,English,402,3,6,63.52,0.52,27,75,0.25,0.98,0.18,12,0.17,9,3,0.65,19144,22249,103075,0.63,0.36,0.14,1,1,3456,Free,0.34,0.85,0.69,0.11,0.25,0.7,0.69,0.94,0.47,0.97,"Entrepreneur from Kolkata, loves Fitness. Frequent iOS user.",Apple,0.84,Best Books products
USR_2018,35,Female,Delhi,Tier 3,Student,Windows,Low,Married,1,Regional,397,54,3,225.28,0.23,24,76,0.44,0.73,0.05,15,0.27,3,6,0.54,18607,22561,176431,0.18,0.66,0.14,1,0,3546,Gold,0.34,0.19,0.93,0.57,0.66,0.13,0.41,0.58,0.57,0.3,"Student from Delhi, loves Fitness. Frequent Windows user.",Apple,0.77,Best Beauty products
USR_2019,59,Non-Binary,Mumbai,Tier 1,Software Engineer,Windows,High,Single,0,Regional,18,24,16,213.9,0.58,5,17,0.33,0.2,0.22,11,0.23,27,13,0.84,15472,34589,352838,0.13,0.7,0.27,0,0,4540,Silver,0.08,0.02,0.83,0.92,0.83,0.97,0.18,0.61,0.19,0.05,"Software Engineer from Mumbai, loves Fashion. Frequent Windows user.",Zara,0.44,Best Beauty products
USR_2020,42,Non-Binary,Mumbai,Tier 1,Entrepreneur,MacOS,Low,Single,1,Hindi,126,62,4,260.67,0.5,17,6,0.2,0.56,0.25,3,0.24,26,5,0.27,15504,23153,245962,0.76,0.97,0.1,0,0,666,Gold,0.49,0.16,0.3,0.44,0.37,0.41,0.32,0.57,0.26,0.91,"Entrepreneur from Mumbai, loves Fashion. Frequent MacOS user.",Apple,0.68,Best Fashion products
USR_2021,34,Male,Pune,Tier 1,Entrepreneur,MacOS,Ultra-High,Married,0,Hindi,115,76,6,76.9,0.55,5,86,0.35,0.16,0.19,10,0.34,6,11,0.59,2159,18228,159383,0.69,0.64,0.28,1,0,4067,Platinum,0.85,0.74,0.36,0.81,0.8,0.1,0.91,0.65,0.35,0.63,"Entrepreneur from Pune, loves Gaming. Frequent MacOS user.",Nike,0.96,Best Tech products
USR_2022,33,Male,Delhi,Tier 1,Artist,Windows,High,Single,0,Regional,93,43,11,138.14,0.51,30,52,0.17,0.72,0.53,4,0.31,21,12,0.25,7180,40007,194874,0.68,0.33,0.18,0,0,3795,Free,0.58,0.86,0.92,0.4,0.32,0.66,0.45,0.93,0.98,0.56,"Artist from Delhi, loves Home Decor. Frequent Windows user.",Zara,0.02,Best Fashion products
USR_2023,21,Non-Binary,Hyderabad,Tier 3,Teacher,Android,Medium,Married,0,Regional,274,87,13,200.35,0.16,11,81,0.24,0.43,0.73,15,0.23,12,6,0.36,15884,41751,223250,0.8,0.89,0.25,1,1,4342,Platinum,0.66,0.87,0.03,0.11,0.63,0.71,0.63,0.64,0.07,0.83,"Teacher from Hyderabad, loves Fitness. Frequent Android user.",Zara,1.0,Best Tech products
USR_2024,57,Female,Pune,Tier 1,Software Engineer,Windows,Low,Married,0,English,280,94,20,134.54,0.19,28,58,0.67,0.04,0.09,6,0.26,12,8,0.69,5995,20447,189113,0.64,0.41,0.0,0,0,2994,Free,0.17,0.12,0.43,0.76,0.09,0.26,0.43,0.33,0.52,0.23,"Software Engineer from Pune, loves Home Decor. Frequent Windows user.",Samsung,0.82,Best Fitness products
USR_2025,21,Male,Bangalore,Tier 1,Software Engineer,Windows,High,Married,1,Regional,305,98,8,103.41,0.78,28,83,0.38,1.0,0.98,2,0.0,28,20,0.19,17031,26150,272807,0.47,0.38,0.01,1,1,3675,Silver,0.8,0.28,0.28,0.56,0.37,0.85,0.94,0.88,0.58,0.95,"Software Engineer from Bangalore, loves Beauty. Frequent Windows user.",Zara,0.35,Best Fitness products
USR_2026,52,Female,Pune,Tier 3,Software Engineer,iOS,Medium,Married,1,Regional,421,48,10,92.61,0.76,20,78,0.82,0.47,0.91,9,0.01,29,3,0.27,22795,41644,444644,0.73,0.92,0.2,1,0,812,Silver,0.99,0.3,0.25,0.46,0.16,0.73,0.59,0.5,0.28,0.66,"Software Engineer from Pune, loves Tech. Frequent iOS user.",Nike,0.94,Best Books products
USR_2027,32,Male,Mumbai,Tier 2,Doctor,MacOS,Low,Married,0,English,174,31,8,39.5,0.61,20,25,0.39,0.29,0.45,4,0.17,0,15,0.59,14550,17472,273024,0.46,0.8,0.23,0,0,4520,Gold,0.25,0.28,0.37,0.58,0.02,0.16,0.89,0.62,0.72,0.58,"Doctor from Mumbai, loves Fashion. Frequent MacOS user.",LG,0.25,Best Beauty products
USR_2028,25,Female,Chennai,Tier 3,Software Engineer,MacOS,Medium,Married,0,Hindi,187,85,18,169.92,0.26,2,9,0.51,0.3,0.5,13,0.48,11,16,0.21,14628,22277,197933,0.2,0.77,0.13,0,1,304,Silver,0.98,0.27,0.67,0.97,0.56,0.33,0.64,0.46,0.8,0.61,"Software Engineer from Chennai, loves Books. Frequent MacOS user.",Nike,0.37,Best Fashion products
USR_2029,61,Female,Delhi,Tier 3,Software Engineer,iOS,Low,Single,1,English,34,11,3,181.84,0.36,15,99,0.66,0.51,0.25,12,0.41,14,11,0.48,16193,35549,335404,0.87,0.27,0.13,0,0,3955,Platinum,0.46,0.49,0.28,0.83,0.9,0.81,0.53,0.81,0.53,0.0,"Software Engineer from Delhi, loves Home Decor. Frequent iOS user.",LG,0.22,Best Home Decor products
USR_2030,47,Male,Delhi,Tier 3,Doctor,MacOS,Low,Married,0,English,370,31,4,163.94,0.48,0,83,0.39,0.18,0.13,6,0.35,15,1,0.53,8836,41534,395220,0.58,0.39,0.14,0,1,562,Gold,0.79,0.32,0.09,0.31,0.44,0.13,0.91,0.03,0.1,0.26,"Doctor from Delhi, loves Beauty. Frequent MacOS user.",LG,0.69,Best Tech products
USR_2031,26,Male,Kolkata,Tier 2,Artist,iOS,Low,Single,1,Regional,342,98,12,272.59,0.72,7,47,0.58,0.83,0.54,10,0.45,24,15,0.49,6067,28058,193558,0.27,0.14,0.26,0,1,1338,Platinum,0.88,0.73,0.24,0.53,0.69,0.47,0.19,0.76,0.6,0.94,"Artist from Kolkata, loves Books. Frequent iOS user.",Apple,0.63,Best Home Decor products
USR_2032,59,Non-Binary,Pune,Tier 3,Teacher,iOS,High,Married,0,English,312,38,12,159.95,0.41,9,50,0.11,0.35,0.16,9,0.38,2,8,0.27,21034,22322,410597,0.79,0.5,0.25,0,0,1842,Platinum,0.73,0.53,0.12,0.21,0.52,0.03,0.48,0.04,0.96,0.1,"Teacher from Pune, loves Home Decor. Frequent iOS user.",Nike,0.86,Best Tech products
USR_2033,65,Non-Binary,Delhi,Tier 2,Teacher,iOS,Low,Single,0,English,169,82,4,118.88,0.35,30,84,0.42,0.87,0.71,13,0.28,29,16,0.74,20055,42247,225447,0.21,0.93,0.17,1,0,2769,Silver,0.82,0.26,0.3,0.6,0.46,0.88,0.64,0.35,0.67,0.54,"Teacher from Delhi, loves Home Decor. Frequent iOS user.",Zara,0.04,Best Fitness products
USR_2034,48,Female,Chennai,Tier 2,Doctor,MacOS,High,Single,1,Hindi,464,57,7,237.05,0.22,30,40,0.26,0.1,0.85,5,0.36,15,6,0.49,13745,43761,480153,0.55,0.14,0.16,1,1,330,Free,0.58,0.37,0.42,0.25,0.6,0.73,0.11,0.52,0.81,0.24,"Doctor from Chennai, loves Beauty. Frequent MacOS user.",Nike,0.19,Best Tech products
USR_2035,38,Male,Hyderabad,Tier 2,Student,Android,Low,Single,1,English,20,13,2,262.26,0.37,25,58,0.84,0.88,0.08,1,0.04,25,7,0.89,23281,46753,328880,0.16,0.97,0.22,1,1,1155,Platinum,0.53,0.15,0.49,0.92,0.18,1.0,0.71,0.62,0.82,0.64,"Student from Hyderabad, loves Fashion. Frequent Android user.",Nike,0.09,Best Fitness products
USR_2036,37,Male,Pune,Tier 3,Doctor,MacOS,Medium,Married,1,English,127,44,11,180.3,0.17,27,39,0.2,0.94,0.4,5,0.49,12,1,0.77,10528,21507,378817,0.23,0.46,0.29,1,1,1143,Silver,0.04,0.38,0.32,0.19,0.75,0.34,0.27,0.01,0.82,0.75,"Doctor from Pune, loves Beauty. Frequent MacOS user.",LG,0.94,Best Home Decor products
USR_2037,62,Non-Binary,Kolkata,Tier 1,Artist,iOS,High,Single,0,Hindi,144,66,17,182.88,0.33,27,55,0.53,0.08,0.34,4,0.33,22,5,0.45,6399,19692,203662,0.38,0.66,0.3,1,0,1265,Free,0.54,0.48,0.63,0.57,0.99,0.42,0.03,0.14,0.2,0.13,"Artist from Kolkata, loves Beauty. Frequent iOS user.",Apple,0.41,Best Home Decor products
USR_2038,53,Non-Binary,Bangalore,Tier 3,Software Engineer,Android,Low,Married,1,Hindi,248,92,8,295.04,0.35,19,90,0.63,0.8,0.41,14,0.47,19,6,0.44,13307,42563,188181,0.24,0.07,0.16,0,0,1780,Gold,0.04,0.29,0.77,0.29,0.07,0.37,0.98,0.37,0.14,0.86,"Software Engineer from Bangalore, loves Fashion. Frequent Android user.",Nike,0.3,Best Beauty products
USR_2039,21,Male,Delhi,Tier 2,Student,iOS,Low,Single,0,Hindi,296,30,3,214.41,0.71,3,9,0.19,0.31,0.26,6,0.25,30,3,0.85,740,31277,426171,0.73,0.14,0.02,0,1,2189,Silver,0.68,0.2,0.47,0.21,0.43,0.37,0.33,0.42,0.85,0.48,"Student from Delhi, loves Gaming. Frequent iOS user.",Zara,0.9,Best Fitness products
USR_2040,31,Male,Chennai,Tier 1,Artist,Android,Medium,Married,0,Hindi,101,85,13,218.28,0.45,27,77,0.11,0.8,0.71,4,0.26,9,6,0.42,787,19452,483185,0.77,0.34,0.15,0,0,1957,Silver,0.13,0.6,0.34,0.45,0.26,0.33,0.15,0.24,0.97,0.38,"Artist from Chennai, loves Tech. Frequent Android user.",Zara,0.81,Best Tech products
USR_2041,51,Female,Bangalore,Tier 3,Teacher,Windows,High,Single,1,Hindi,425,73,13,75.44,0.41,12,55,0.65,0.13,0.95,15,0.13,18,20,0.15,10466,39618,323890,0.57,0.84,0.02,1,0,3753,Silver,0.58,0.36,0.61,0.22,0.39,0.67,0.03,0.46,0.45,0.44,"Teacher from Bangalore, loves Gaming. Frequent Windows user.",Zara,0.7,Best Books products
USR_2042,39,Female,Mumbai,Tier 3,Entrepreneur,MacOS,Medium,Single,1,English,77,75,19,39.8,0.3,2,56,0.25,0.01,0.25,3,0.04,0,7,0.67,8946,14656,179853,0.15,0.15,0.24,0,1,160,Gold,0.63,0.42,0.21,0.94,0.88,0.84,0.18,0.44,0.72,0.99,"Entrepreneur from Mumbai, loves Fitness. Frequent MacOS user.",Apple,0.22,Best Fashion products
USR_2043,57,Female,Kolkata,Tier 1,Student,Android,Low,Single,1,English,299,58,11,299.03,0.44,4,43,0.63,0.28,0.02,2,0.43,22,6,0.82,16932,18104,112501,0.2,0.74,0.18,1,1,2084,Silver,0.75,0.7,0.82,0.68,0.65,0.75,0.53,0.68,0.85,0.39,"Student from Kolkata, loves Fitness. Frequent Android user.",Apple,0.07,Best Beauty products
USR_2044,45,Female,Delhi,Tier 1,Software Engineer,Android,Low,Married,0,English,464,98,2,222.97,0.68,15,5,0.16,0.18,0.18,1,0.41,16,12,0.18,21341,29037,288503,0.27,0.39,0.02,0,1,3952,Gold,0.2,0.98,0.05,0.33,0.62,0.53,0.98,0.33,0.39,0.48,"Software Engineer from Delhi, loves Tech. Frequent Android user.",Samsung,0.12,Best Books products
USR_2045,24,Male,Delhi,Tier 2,Software Engineer,iOS,Ultra-High,Single,1,Hindi,412,74,2,51.13,0.44,7,41,0.43,0.55,0.67,1,0.24,24,12,0.86,6181,32690,27764,0.5,0.19,0.04,0,1,3798,Platinum,0.49,0.56,0.47,0.18,0.54,0.85,0.88,0.65,0.69,0.62,"Software Engineer from Delhi, loves Tech. Frequent iOS user.",Samsung,0.83,Best Fitness products
USR_2046,41,Male,Bangalore,Tier 3,Entrepreneur,MacOS,Medium,Married,0,English,462,88,3,39.82,0.65,2,14,0.53,0.23,0.39,10,0.23,7,7,0.86,19122,37642,463769,0.42,0.82,0.29,0,1,1563,Silver,0.91,0.81,0.9,0.19,0.32,0.52,0.15,0.12,0.49,0.04,"Entrepreneur from Bangalore, loves Tech. Frequent MacOS user.",Nike,0.23,Best Home Decor products
USR_2047,46,Female,Mumbai,Tier 3,Doctor,iOS,Low,Married,1,English,461,77,20,245.62,0.63,26,46,0.82,0.87,0.92,7,0.09,24,5,0.98,19469,34404,6047,0.72,0.35,0.14,1,0,1668,Silver,0.35,0.92,0.01,0.42,0.87,0.63,0.68,0.41,0.72,0.92,"Doctor from Mumbai, loves Gaming. Frequent iOS user.",Zara,0.99,Best Home Decor products
USR_2048,37,Male,Chennai,Tier 3,Software Engineer,Android,High,Married,0,Hindi,120,47,6,140.99,0.25,16,82,0.46,0.39,0.33,10,0.14,12,18,0.16,6491,21562,87648,0.6,0.77,0.25,1,0,228,Silver,0.03,0.33,0.87,0.65,0.0,0.39,0.31,0.12,0.28,0.05,"Software Engineer from Chennai, loves Gaming. Frequent Android user.",Zara,0.88,Best Fitness products
USR_2049,54,Female,Delhi,Tier 1,Student,iOS,Low,Single,0,Regional,73,51,2,56.45,0.23,17,34,0.82,0.43,0.4,12,0.25,4,19,0.72,17382,35000,313393,0.23,0.48,0.03,1,1,3237,Gold,0.48,0.32,0.89,0.17,0.73,0.08,0.07,0.34,0.64,0.87,"Student from Delhi, loves Gaming. Frequent iOS user.",Samsung,0.32,Best Fashion products
USR_2050,31,Male,Chennai,Tier 1,Teacher,iOS,High,Married,1,Hindi,80,1,12,118.74,0.49,0,19,0.37,0.49,0.3,15,0.34,12,18,0.88,17129,48882,484256,0.76,0.63,0.06,0,1,3473,Free,0.62,0.99,0.03,0.33,0.73,0.41,0.14,0.86,0.57,0.84,"Teacher from Chennai, loves Books. Frequent iOS user.",LG,0.22,Best Tech products
USR_2051,23,Non-Binary,Delhi,Tier 1,Artist,iOS,Ultra-High,Single,0,Regional,388,30,17,289.36,0.25,23,66,0.62,0.85,0.64,8,0.38,13,15,0.17,18733,34852,142700,0.14,0.06,0.07,1,0,150,Free,0.03,0.16,0.05,0.59,0.87,0.74,0.5,0.06,0.72,0.72,"Artist from Delhi, loves Beauty. Frequent iOS user.",Samsung,0.7,Best Home Decor products
USR_2052,54,Male,Bangalore,Tier 3,Entrepreneur,Android,Ultra-High,Married,0,Regional,397,8,0,282.48,0.31,30,24,0.43,0.76,0.09,4,0.31,15,12,0.87,13448,35815,175831,0.44,0.17,0.1,0,1,3187,Silver,0.36,0.04,0.91,0.83,0.7,0.43,0.65,0.03,0.28,0.18,"Entrepreneur from Bangalore, loves Tech. Frequent Android user.",Samsung,0.63,Best Fashion products
USR_2053,62,Male,Kolkata,Tier 3,Entrepreneur,iOS,High,Single,1,English,244,55,10,230.03,0.61,27,61,0.37,0.74,0.59,14,0.03,7,11,0.96,24249,42186,70926,0.48,0.9,0.0,0,0,1378,Gold,0.28,0.84,0.37,0.08,0.67,0.32,0.95,0.18,0.11,0.78,"Entrepreneur from Kolkata, loves Fashion. Frequent iOS user.",Nike,0.37,Best Tech products
USR_2054,60,Non-Binary,Mumbai,Tier 2,Artist,Windows,Low,Married,1,Hindi,184,30,11,201.75,0.7,7,72,0.21,0.18,0.61,6,0.35,2,6,0.78,11208,41456,259283,0.6,0.12,0.28,0,0,3675,Silver,0.59,0.53,0.58,0.03,0.65,0.26,0.57,0.21,0.59,0.73,"Artist from Mumbai, loves Fashion. Frequent Windows user.",LG,0.06,Best Home Decor products
USR_2055,48,Male,Bangalore,Tier 3,Software Engineer,MacOS,Ultra-High,Single,0,Regional,435,35,4,102.33,0.74,0,71,0.75,0.96,0.46,3,0.03,14,17,0.48,21148,31645,439609,0.71,0.32,0.13,1,1,3781,Gold,0.23,0.72,0.68,0.4,0.51,0.65,0.33,0.29,0.41,0.99,"Software Engineer from Bangalore, loves Beauty. Frequent MacOS user.",LG,0.27,Best Gaming products
USR_2056,24,Female,Kolkata,Tier 1,Student,Android,High,Married,0,English,232,21,10,78.52,0.43,21,64,0.49,0.57,0.38,8,0.09,6,14,0.17,15542,21767,6406,0.85,0.9,0.11,1,0,1132,Silver,0.83,0.03,0.5,0.82,0.71,0.13,0.48,0.59,0.01,0.19,"Student from Kolkata, loves Books. Frequent Android user.",Apple,0.47,Best Fitness products
USR_2057,31,Non-Binary,Pune,Tier 1,Doctor,iOS,Low,Married,0,English,93,19,2,31.53,0.33,12,32,0.23,0.15,0.86,3,0.15,4,3,0.5,16612,34377,127937,0.16,0.38,0.16,0,1,1792,Platinum,0.01,0.73,0.01,0.35,0.13,0.97,0.94,0.01,0.09,0.14,"Doctor from Pune, loves Fashion. Frequent iOS user.",Nike,0.49,Best Books products
USR_2058,48,Female,Delhi,Tier 2,Artist,Android,Low,Married,1,English,431,9,1,228.95,0.42,25,33,0.37,0.72,0.71,3,0.07,18,16,0.89,5215,11965,218629,0.37,0.14,0.27,1,0,3557,Gold,0.69,0.32,0.75,0.34,0.67,0.23,0.05,0.28,0.27,0.74,"Artist from Delhi, loves Home Decor. Frequent Android user.",Nike,1.0,Best Books products
USR_2059,61,Male,Bangalore,Tier 3,Software Engineer,MacOS,Low,Married,0,Hindi,160,92,3,8.96,0.69,8,6,0.52,0.46,0.34,11,0.4,19,19,0.82,15497,26107,242169,0.32,0.16,0.15,0,1,1148,Free,0.92,0.59,0.73,0.9,0.1,0.98,0.55,0.68,0.38,0.71,"Software Engineer from Bangalore, loves Gaming. Frequent MacOS user.",Zara,0.35,Best Beauty products
USR_2060,33,Non-Binary,Bangalore,Tier 3,Student,iOS,Low,Single,1,Regional,85,2,1,117.45,0.29,22,87,0.3,0.72,0.53,10,0.08,5,19,0.6,11358,17407,46217,0.72,0.47,0.0,0,1,2826,Platinum,0.61,0.01,0.04,0.84,0.15,0.21,0.32,0.14,0.83,0.02,"Student from Bangalore, loves Fashion. Frequent iOS user.",Samsung,0.79,Best Books products
USR_2061,49,Female,Bangalore,Tier 1,Doctor,Android,Medium,Married,0,Hindi,259,30,16,65.45,0.54,0,90,0.58,0.07,0.06,5,0.27,13,17,0.44,13082,38352,116814,0.7,0.51,0.05,1,0,490,Free,0.16,0.29,0.17,0.19,0.78,0.18,0.44,0.41,0.29,0.9,"Doctor from Bangalore, loves Home Decor. Frequent Android user.",Apple,0.98,Best Beauty products
USR_2062,39,Male,Delhi,Tier 3,Entrepreneur,Android,Medium,Married,0,English,379,7,3,59.61,0.67,8,68,0.43,0.16,0.42,4,0.07,22,13,0.53,12880,23646,432520,0.34,0.88,0.08,1,0,1181,Free,0.41,0.21,0.97,0.7,0.98,0.05,0.32,0.48,0.27,0.59,"Entrepreneur from Delhi, loves Tech. Frequent Android user.",Apple,0.29,Best Books products
USR_2063,18,Non-Binary,Kolkata,Tier 1,Artist,MacOS,Ultra-High,Married,1,English,15,39,11,275.73,0.63,17,79,0.38,0.18,0.68,6,0.29,5,11,0.16,19750,31598,32403,0.74,0.52,0.19,0,0,4931,Gold,0.98,0.28,0.4,1.0,0.07,0.64,0.42,0.12,0.75,0.37,"Artist from Kolkata, loves Fashion. Frequent MacOS user.",Nike,0.22,Best Fitness products
USR_2064,21,Non-Binary,Delhi,Tier 3,Software Engineer,MacOS,Low,Single,1,Regional,282,72,0,172.13,0.6,30,58,0.86,0.25,0.11,14,0.48,22,11,0.44,9483,25885,448462,0.16,0.01,0.26,0,1,2179,Gold,0.04,0.21,0.54,0.76,0.47,0.64,0.65,0.8,0.87,0.55,"Software Engineer from Delhi, loves Books. Frequent MacOS user.",Samsung,0.2,Best Beauty products
